iter	RMSE
0	0.5120291101
1	0.4757983078
2	0.4424969314
3	0.4119593392
4	0.3828398002
5	0.360373188
6	0.3376150279
7	0.3166462034
8	0.2988095534
9	0.2798345754
10	0.2637891498
11	0.2517834592
12	0.2397435367
13	0.2296036002
14	0.2202664194
15	0.2089495725
16	0.201682076
17	0.1930923749
18	0.1877466777
19	0.1800222412
20	0.174227477
21	0.1696174051
22	0.1644337254
23	0.1605194078
24	0.1548253018
25	0.1505794516
26	0.1461986308
27	0.1435683411
28	0.1412768102
29	0.138593025
30	0.1367568107
31	0.1339548315
32	0.1317372085
33	0.1299080307
34	0.1276061397
35	0.1262960795
36	0.1251264499
37	0.1237200826
38	0.1213687168
39	0.1199210684
40	0.1183291157
41	0.1167267599
42	0.1159362201
43	0.1148624505
44	0.1133431932
45	0.1117607414
46	0.1102583158
47	0.109290629
48	0.108325975
49	0.1070693014
50	0.1062105564
51	0.105037041
52	0.1041292092
53	0.1030495739
54	0.102090956
55	0.101233743
56	0.1004322019
57	0.09953233819
58	0.09878403984
59	0.09786311508
60	0.09736518705
61	0.09642082107
62	0.09525164785
63	0.09451591044
64	0.09365953406
65	0.09271519583
66	0.09197869333
67	0.09070205565
68	0.08983400636
69	0.08903995379
70	0.08804431688
71	0.08738155796
72	0.08663012271
73	0.08600534081
74	0.08523659336
75	0.08459070991
76	0.08378872481
77	0.08299787211
78	0.08180020215
79	0.08141418757
80	0.0806211595
81	0.07992414048
82	0.07940828805
83	0.07861539849
84	0.07805524633
85	0.0772250598
86	0.07674965307
87	0.07590151465
88	0.07518632347
89	0.07458614766
90	0.07392620113
91	0.07328200528
92	0.07307590068
93	0.07236390348
94	0.07192247869
95	0.07129525134
96	0.07060304732
97	0.06999470103
98	0.06938659412
99	0.06878217902
100	0.06807578064
101	0.06732271025
102	0.06675095744
103	0.06622503641
104	0.06584124688
105	0.06533459356
106	0.06482746528
107	0.06408801476
108	0.06358969925
109	0.06322800096
110	0.06275673701
111	0.0623140884
112	0.06193643432
113	0.06134134142
114	0.06096325605
115	0.06038965855
116	0.06007971106
117	0.059786188
118	0.05923762062
119	0.05882625276
120	0.05837889383
121	0.05797648539
122	0.05751273341
123	0.05726348786
124	0.05700607314
125	0.05653112853
126	0.05612563052
127	0.05587638838
128	0.05545350199
129	0.05516441049
130	0.05484378292
131	0.05443479106
132	0.05397898188
133	0.05356167945
134	0.05322494218
135	0.0529396286
136	0.05265926527
137	0.05232598782
138	0.05208790027
139	0.05182477843
140	0.05154153695
141	0.05126283473
142	0.05097769446
143	0.05074909516
144	0.05052856637
145	0.05026396824
146	0.05008462445
147	0.04993014871
148	0.04962109662
149	0.04950239561
150	0.04932867758
151	0.04906285162
152	0.04886576903
153	0.04864562688
154	0.04841113132
155	0.04816213565
156	0.04800197637
157	0.04799533038
158	0.04798880022
159	0.04798236563
160	0.04779856344
161	0.04779225662
162	0.04778294824
163	0.04759645559
164	0.04759028254
165	0.04758425362
166	0.04757681612
167	0.04755502047
168	0.04754923027
169	0.04724108814
170	0.04723539065
171	0.04722764458
172	0.04715758366
173	0.04714985955
174	0.04714455104
175	0.04709075568
176	0.04687171348
177	0.04671863417
178	0.04671342358
179	0.04670828673
180	0.04652038645
181	0.04625078673
182	0.0460964686
183	0.04587043428
184	0.04586366551
185	0.04585879928
186	0.04584345675
187	0.04581818817
188	0.04581325538
189	0.04580870103
190	0.04580202624
191	0.04579752064
192	0.0457931352
193	0.04564051649
194	0.04542753187
195	0.04542315122
196	0.04541666782
197	0.04531802472
198	0.04521466835
199	0.04521063792
200	0.0450094388
201	0.04485861622
202	0.04485000758
203	0.04475717577
204	0.04454425264
205	0.04454041413
206	0.04434871097
207	0.04434494941
208	0.044341265
209	0.04420127634
210	0.04390082163
211	0.04366234951
212	0.04359002036
213	0.04342766082
214	0.04328283385
215	0.04327910502
216	0.04304998897
217	0.04289157356
218	0.04272120815
219	0.04254263889
220	0.04244838564
221	0.04241958278
222	0.04241596901
223	0.0422537006
224	0.04221426622
225	0.04206317912
226	0.04193831166
227	0.0419348183
228	0.0417909353
229	0.04158260177
230	0.04148683834
231	0.04139705498
232	0.04139355799
233	0.04138008487
234	0.04137680746
235	0.04126392307
236	0.04109245195
237	0.0410824356
238	0.04096685038
239	0.0408121653
240	0.04064912911
241	0.0405815198
242	0.04052559612
243	0.04052239614
244	0.04047964593
245	0.04035277838
246	0.04025751999
247	0.04011651252
248	0.04011339807
249	0.04011034648
250	0.04010735613
251	0.04010439505
252	0.04010140685
253	0.04009849811
254	0.0400954786
255	0.03997990095
256	0.03995378987
257	0.03980245236
258	0.03966907003
259	0.03955412702
260	0.03943539035
261	0.03943169321
262	0.03938316906
263	0.03934731043
264	0.0391473447
265	0.03898176272
266	0.03895483446
267	0.03884768584
268	0.03877050419
269	0.03873881617
270	0.03866072961
271	0.03864449589
272	0.03859145268
273	0.03858807051
274	0.03858532126
275	0.03856102206
276	0.03843247612
277	0.0384202871
278	0.03831801392
279	0.03810304256
280	0.03809331373
281	0.03790285581
282	0.03779250992
283	0.03765628751
284	0.03750324276
285	0.03740198608
286	0.03728726783
287	0.03719671806
288	0.03711760611
289	0.0369937529
290	0.03688292138
291	0.03675460044
292	0.0366484474
293	0.03658862499
294	0.03654302713
295	0.03642768729
296	0.03632939262
297	0.03620570974
298	0.03620104389
299	0.03615367465
300	0.03612675481
301	0.03604464351
302	0.035938346
303	0.03593599102
304	0.03593296347
305	0.03585663808
306	0.03576195115
307	0.03569306516
308	0.03559452144
309	0.03551149061
310	0.03550919189
311	0.03537103456
312	0.03518349811
313	0.03506471489
314	0.0349019816
315	0.0348389598
316	0.03483662722
317	0.03482488363
318	0.03477170368
319	0.03468790477
320	0.03467544341
321	0.03467330363
322	0.03459960065
323	0.03458660213
324	0.03450465756
325	0.03441669916
326	0.034310398
327	0.03418344136
328	0.03418132839
329	0.03410267613
330	0.03398004009
331	0.03389769642
332	0.03378031582
333	0.03375891794
334	0.03375572666
335	0.03375371384
336	0.03375173294
337	0.0337448501
338	0.03374289531
339	0.03372959009
340	0.03372763685
341	0.03372576894
342	0.03372389741
343	0.03372207524
344	0.03366564577
345	0.03366383424
346	0.03358753763
347	0.0335810621
348	0.03346005229
349	0.03333903786
350	0.03331113026
351	0.03318464719
352	0.0331429701
353	0.033079719
354	0.03303440703
355	0.03303047761
356	0.03296576321
357	0.03296185209
358	0.03295769338
359	0.0329104149
360	0.03278931029
361	0.03268265805
362	0.03262007378
363	0.03261485995
364	0.03257865222
365	0.03254109104
366	0.03246166771
367	0.03240188066
368	0.0323945178
369	0.03237866172
370	0.03237496426
371	0.03231262852
372	0.03227111099
373	0.03217867364
374	0.03211763753
375	0.03203588784
376	0.03201552939
377	0.03198244838
378	0.03189466445
379	0.03185482373
380	0.03185313522
381	0.03173785734
382	0.03173637518
383	0.03170731538
384	0.03169508627
385	0.03163869672
386	0.03157996962
387	0.03150427245
388	0.03145819288
389	0.03137330843
390	0.03129176177
391	0.03122468372
392	0.03112851758
393	0.03111250883
394	0.03104905215
395	0.03095674258
396	0.03095125106
397	0.03088019368
398	0.03082013409
399	0.03075738602
